spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
72,0,24803.5,0,0,19842.8,50625,0,0,0
71,1,15102.2,0,0,12081.7,50625,0,0,0
70,2,12495.9,0,0,9996.73,50625,0,0,0
69,3,29647.3,0,0,23717.9,50625,0,0,0
68,4,7458.81,0,0,5967.05,50625,0,0,0
67,5,24572.8,0,0,19658.3,50625,0,0,0
66,6,28406.8,0,0,22725.5,50625,0,0,0
65,7,34780.7,0,0,27824.6,50625,0,0,0
64,8,30028.2,0,0,24022.5,50625,0,0,0
63,9,32756,0,0,26204.8,50625,0,0,0
62,10,17585.1,0,0,14068.1,50625,0,0,0
61,11,10159.2,0,0,8127.35,50625,0,0,0
60,12,32683.4,0,0,26146.7,50625,0,0,0
59,13,43222,0,0,34577.6,50625,0,0,0
58,14,43822.3,0,0,35057.9,50625,0,0,0
57,15,49729.5,0,0,39783.6,49769,0,0,0
56,16,43288,0,0,34630.4,50625,0,0,0
55,17,12123,0,0,9698.44,50625,0,0,0
54,18,33940.2,0,0,27152.2,50625,0,0,0
53,19,7859.65,0,0,6287.72,50625,0,0,0
52,20,19153.1,0,0,15322.5,50625,0,0,0
51,21,27539.8,0,0,22031.9,50625,0,0,0
50,22,26260.1,0,0,21008.1,50625,0,0,0
49,23,24780.6,0,0,19824.5,50625,0,0,0
48,24,32286.4,0,0,25829.1,50625,0,0,0
47,25,849.677,0,0,679.742,50625,0,0,0
46,26,28568.9,0,0,22855.1,50625,0,0,0
45,27,33413.1,0,0,26730.5,50625,0,0,0
44,28,32522.7,0,0,26018.1,50625,0,0,0
43,29,21735,0,0,17388,50625,0,0,0
42,30,33917.2,0,0,27133.8,50625,0,0,0
41,31,4159.1,0,0,3327.28,50625,0,0,0
40,32,24205.7,0,0,19364.5,50625,0,0,0
39,33,25055.6,0,0,20044.5,50625,0,0,0
38,34,8307.41,0,0,6645.93,50625,0,0,0
37,35,44604.8,0,0,35683.8,50625,0,0,0
36,36,25834.5,0,0,20667.6,50625,0,0,0
35,37,7202.72,0,0,5762.17,50625,0,0,0
34,38,20812.7,0,0,16650.1,50625,0,0,0
33,39,6981.43,0,0,5585.14,50625,0,0,0
32,40,11156.9,0,0,8925.54,50625,0,0,0
31,41,16121.5,0,0,12897.2,50625,0,0,0
30,42,21989.3,0,0,17591.4,50625,0,0,0
29,43,37610.9,0,0,30088.7,50625,0,0,0
28,44,25392.6,0,0,20314.1,50625,0,0,0
27,45,17442.7,0,0,13954.2,50625,0,0,0
26,46,23870.1,0,0,19096.1,50625,0,0,0
25,47,6816.5,0,0,5453.2,50625,0,0,0
24,48,30050.5,0,0,24040.4,50625,0,0,0
23,49,42325.4,0,0,33860.3,50625,0,0,0
22,50,21094.8,0,0,16875.8,50625,0,0,0
21,51,22317.4,0,0,17853.9,50625,0,0,0
20,52,5580.44,0,0,4464.36,50625,0,0,0
19,53,39912.3,0,0,31929.8,50625,0,0,0
18,54,30826.5,0,0,24661.2,50625,0,0,0
17,55,21364.1,0,0,17091.3,50625,0,0,0
16,56,16147.9,0,0,12918.3,50625,0,0,0
15,57,28771,0,0,23016.8,50625,0,0,0
14,58,8025.28,0,0,6420.22,50625,0,0,0
13,59,6807.45,0,0,5445.96,50625,0,0,0
12,60,21707.1,0,0,17365.6,50625,0,0,0
11,61,39280.5,0,0,31424.4,50625,0,0,0
10,62,25076.7,0,0,20061.4,50625,0,0,0
9,63,14115,0,0,11292,50625,0,0,0
8,64,21931.4,0,0,17545.1,50625,0,0,0
7,65,16354.8,0,0,13083.8,50625,0,0,0
6,66,19138.6,0,0,15310.9,50625,0,0,0
5,67,26060.2,0,0,20848.2,50625,0,0,0
4,68,49993.7,0,0,39994.9,50625,0,0,0
3,69,3416.04,0,0,2732.83,50625,0,0,0
2,70,32333.5,0,0,25866.8,50625,0,0,0
1,71,36974.4,0,0,29579.5,50625,0,0,0
